Date,CC_Velocity,PL_Velocity
2021-07-01,100.0,100.0
2021-08-01,119.79619603683464,100.81859049817041
2021-09-01,141.46517443791674,130.76565005553715
2021-10-01,191.95704107620682,153.21425683422135
2021-11-01,175.79373789343705,166.77275549681468
2021-12-01,197.84391997271308,170.88002881446926
2022-01-01,191.93199011781684,159.9078591350389
2022-02-01,135.5339176212808,138.34842485207122
2022-03-01,198.68066222544215,190.3341182447397
2022-04-01,220.15994331760623,170.74818241716943
2022-05-01,202.39822644837133,137.0038496056412
2022-06-01,213.39237392829597,190.48942631563668
2022-07-01,214.33484051545554,190.17761491062075
2022-08-01,262.5383854082292,207.33480471650685
2022-09-01,263.75437144646656,190.5423301219313
2022-10-01,251.12370976094462,183.8289894615975
2022-11-01,246.01315484911615,177.51949009167362
2022-12-01,240.15398406071213,167.13172395739068
2023-01-01,218.51424326256264,163.20044977127884
2023-02-01,212.81401708841972,185.5541414571417
2023-03-01,257.0601393104424,215.80259898716812
2023-04-01,240.95632089665077,206.24465070952974
2023-05-01,287.0189328549164,238.51178267548923
2023-06-01,294.66347957836297,206.44128035588426
2023-07-01,269.86223805203747,208.35728737927454
2023-08-01,298.24327116623357,310.5227768056153
2023-09-01,259.60368357785904,210.97016820599202
2023-10-01,284.43453530988774,225.07233486959097
2023-11-01,253.48909375998554,267.8966464374776
2023-12-01,221.0730274530805,1029.6555160057912
2024-01-01,238.57375727299947,214.26520669857877
2024-02-01,189.1912036400492,191.45720360515105
2024-03-01,230.98147072031153,218.84820769130448
2024-04-01,261.2940021090183,209.77659436124588
2024-05-01,281.0604227304027,248.82474070928217
2024-06-01,272.72771564129914,203.91751690088364
2024-07-01,328.0422206665054,262.0802953265148
2024-08-01,331.42467167536375,259.73340911091634
2024-09-01,279.1818497267776,225.0479756836647
2024-10-01,315.2769763491939,249.2955625027844
2024-11-01,287.43640164731517,223.6921613575276
2024-12-01,286.27278051023825,254.3141970083243
2025-01-01,263.48196498887074,250.32056719519247
2025-02-01,229.62884768618156,231.97878257363286
2025-03-01,307.31576475684074,183.86562087563624
2025-04-01,330.2823798057421,180.02740295236927
2025-05-01,393.9637055401625,214.58675386965226
2025-06-01,295.2567702871126,204.94390641601674
2025-07-01,337.6659984180158,230.98483361495542
2025-08-01,310.84240443289843,234.5681822266222
2025-09-01,281.04017989495003,215.74691499634665
2025-10-01,320.2455043155069,258.08891413132386
2025-11-01,299.7765544985894,212.8317265512083
2025-12-01,285.13915785623294,240.1012697066499
2026-01-01,322.673533881012,279.67540028264153
